Emnenavn;Emnekode;Foreleser;Startdato;Sluttdato
Avansert Java 2;PGR200;Per Lauvas;21. August;19. November
Mobile Okosystemer;IS3200;Alexander Dreyer;23. August;14. November
Grensesnittdesign;DS3800;Andreas Beining;24. August;24. November
